"GeneSymbol","log2FC_db_dw","pvalue","alias","Entrez","log2FC_hallock","pval_hallock","fdr_hallock"
"PRIMA1",3.1429088,9.42e-32,"PRiMA|Prima1l","690195",-0.142929438865323,0.696861339283716,0.865345576411824
"KCNA1",2.5377295,1.93e-31,"Kcna|Kcpvd|Kv1.1","24520",0.0368294737568675,0.84992330006592,0.938640466642317
"IFRD1",1.5897458,3e-31,"Pc4","29596",2.27475177400148,0.000156578737802097,0.00832185489066626
"IER5",1.8107331,4.45e-31,"","498256",1.04682666679245,9.15097652564239e-06,0.00113336457685615
"TRIB2",1.0827541,5.4e-31,"RGD1564451","313974",-0.346249942518141,0.0230790749563954,0.165641540427135
"SMAGP",2.7230294,5.71e-31,"","300236",-0.192347612555599,0.635534010826894,0.832775308364973
"DRD5",3.8985677,7.07e-31,"D1B","25195",-0.039786037385965,0.839332087569564,0.934347191976943
"IL6R",2.301657,1.6e-30,"IL6R1|Il6ra","24499",NA,NA,NA
"FAM84A",1.5672331,1.86e-30,"RGD1305779","313969",-0.142374537090847,0.357721969725456,0.646274672834388
"INSC",3.1004944,1.88e-30,"RGD1311379","293166",-0.142818907578107,0.618927482999157,0.824243030076716
"CYP27B1",2.0879796,3.07e-30,"Cyp40","114700",-0.470277170481641,0.389022700028688,0.670966890821238
"GAL",3.638903,4.39e-30,"Galn","29141",-0.903136439869415,0.382785754177792,0.666430877391814
"ITGA6",1.8318036,4.59e-30,"","114517",-0.00878138580641412,0.948365019410993,0.980225952307369
"PIK3IP1",-1.2761761,5.6e-30,"RGD1311203|zgc:66482","305472",-0.830552618011207,0.000961097714702672,0.0266351761411077
"NPL",1.8066884,9.61e-30,"","304860",-0.18689648367707,0.321131246771811,0.614225796545598
"HS3ST5",1.6394793,1.43e-29,"","294449",-0.103672050004645,0.767936743657077,0.902194502423558
"ACAN",2.3603435,1.89e-29,"Agc|Agc1","58968",0.861678478152061,0.0243754310942388,0.170726193913996
"FST",-2.2953715,3.23e-29,"FOL1|FS|Fst-288|RATFOL1","24373",0.531433432370984,0.0637420824163031,0.281400321553914
"FRMD6",1.591484,3.23e-29,"","257646",1.29201305997542,3.17024638212528e-06,0.000540579845592062
"CRHBP",2.8745425,1.69e-28,"Crfbp","29625",0.774899258041797,0.00493268413769438,0.0683175535416269
"GEM",2.114901,2.35e-28,"","297902",3.21107800868598,2.85564538103187e-05,0.00259214169090326
"FOS",1.8276407,3.46e-28,"c-fos","314322",4.85165646380862,4.62325215452628e-06,0.000685514388303745
"FGFR1",1.739113,1e-27,"","79114",0.165869242848145,0.341643302679994,0.631895778874114
"NRN1",2.0853286,1.11e-27,"Nrn","83834",0.908782227749437,0.00118013527163627,0.0293234338640567
"EHD4",1.4695604,1.22e-27,"Past2","192204",-0.0135855695675131,0.933059586808342,0.97507839613093
"C1QL3",1.7291608,1.4e-27,"","680404",0.717562913411274,9.82983064026416e-07,0.000242334933206127
"PRICKLE1",1.6093031,2.63e-27,"Rilp","315259",0.00274869015165659,0.982078332503614,0.993861644005564
"MTUS2",-1.7557187,1.02e-26,"RGD1562533","498136",-0.107902182903228,0.443593578511699,0.713585833608992
"ADORA1",1.7060324,1.44e-26,"","29290",0.659514355579279,0.00107658080972448,0.0282682471198228
"C1QL2",3.2518566,1.46e-26,"","288979",-0.0767566772341881,0.917331113380369,0.968246633755758
"LEXM",2.7456307,1.92e-26,"RGD1559493","500516",NA,NA,NA
"BHLHE22",-2.3506196,2.87e-26,"Bhlhb5","365748",0.0938222379542879,0.473878683474532,0.734862116048191
"RGS16",1.710074,3.55e-26,"","360857",1.27204692989886,0.000866188358916689,0.024934218037476
"CXXC5",1.1755618,4.92e-26,"","291670",0.15023453694892,0.280938315528423,0.577686645798673
"ARID5A",1.7327574,7.22e-26,"","316327",1.38542891406764,1.52420844085339e-05,0.0016416518811797
"PTPRR",-1.9995065,1.02e-25,"PC12-PTP1|Pcptp1|R-PTP-R","94202",-0.059596318984655,0.721560952854346,0.878231056798801
"ADRA1D",2.8663747,1.21e-25,"Adrd1","29413",0.226118844687072,0.447361276223086,0.716029917479541
"SEMA3A",2.0394833,1.24e-25,"","29751",0.485178115723714,0.00578810638590934,0.0749596410559981
"DUSP14",1.8628569,1.29e-25,"Dusp14l2","360580",1.55634132678386,5.4127810225133e-08,2.76890813206668e-05
"BHLHE40",1.5580747,1.7e-25,"Bhlhb2|Dec1|SHARP-2|Sharp","79431",0.283133888468682,0.168179405029879,0.453875888383196
"TBX21",3.676611,2.03e-25,"","303496",-0.43790999065841,0.746574812737682,0.891480731689918
"SP7",3.4122097,4.62e-25,"Osx","300260",-0.27092738353971,0.823314055028812,0.926811475711039
"TMEM150C",-1.1294942,5.69e-25,"RGD1306105","360916",0.0975043451876883,0.598152342836931,0.812870640840093
"PLCXD2",-1.1535157,7.99e-25,"RGD1563504","363781",0.255243688562559,0.0701747289321629,0.295714940544189
